,Algorthm,mAP,Condition,imageWidth
0,faster_rcnn_inception_v2_coco_custom,0.282007408915087,day,150
1,faster_rcnn_inception_v2_coco,0.13005708477406588,day,150
2,faster_rcnn_resnet50_coco,0.28089753734891915,day,150
3,mask_rcnn_inception_v2_coco,0.176690262916678,day,150
4,rfcn_resnet101_coco,0.18465238773229894,day,150
5,ssd_inception_v2_coco,0.1708305880003993,day,150
6,faster_rcnn_inception_v2_coco_custom,0.3393621573987649,day,300
7,faster_rcnn_inception_v2_coco,0.30982026731151535,day,300
8,faster_rcnn_resnet50_coco,0.3841887711761331,day,300
9,mask_rcnn_inception_v2_coco,0.3145410931984374,day,300
10,rfcn_resnet101_coco,0.42710993804402747,day,300
11,ssd_inception_v2_coco,0.3553821007051461,day,300
12,faster_rcnn_inception_v2_coco_custom,0.3618334702838615,day,450
13,faster_rcnn_inception_v2_coco,0.4330809062674663,day,450
14,faster_rcnn_resnet50_coco,0.4156258227639196,day,450
15,mask_rcnn_inception_v2_coco,0.4247127389913195,day,450
16,rfcn_resnet101_coco,0.47479119065393083,day,450
17,ssd_inception_v2_coco,0.40386715283575647,day,450
18,faster_rcnn_inception_v2_coco_custom,0.3952939883422773,day,600
19,faster_rcnn_inception_v2_coco,0.45161781509814275,day,600
20,faster_rcnn_resnet50_coco,0.46256620280428,day,600
21,mask_rcnn_inception_v2_coco,0.523650669726881,day,600
22,rfcn_resnet101_coco,0.5396654267061395,day,600
23,ssd_inception_v2_coco,0.4707501086828301,day,600
24,faster_rcnn_inception_v2_coco_custom,0.5707385878226418,rainy,150
25,faster_rcnn_inception_v2_coco,0.4370458706272018,rainy,150
26,faster_rcnn_resnet50_coco,0.3841647527553073,rainy,150
27,mask_rcnn_inception_v2_coco,0.3848039215686274,rainy,150
28,rfcn_resnet101_coco,0.3866976705211999,rainy,150
29,ssd_inception_v2_coco,0.16265311062696683,rainy,150
30,faster_rcnn_inception_v2_coco_custom,0.6202972110577459,rainy,300
31,faster_rcnn_inception_v2_coco,0.39229288180550786,rainy,300
32,faster_rcnn_resnet50_coco,0.4329241685611272,rainy,300
33,mask_rcnn_inception_v2_coco,0.5141026752415989,rainy,300
34,rfcn_resnet101_coco,0.42981589346751264,rainy,300
35,ssd_inception_v2_coco,0.30887939221272565,rainy,300
36,faster_rcnn_inception_v2_coco_custom,0.5133418977611478,rainy,450
37,faster_rcnn_inception_v2_coco,0.4521465073830058,rainy,450
38,faster_rcnn_resnet50_coco,0.4409286280152318,rainy,450
39,mask_rcnn_inception_v2_coco,0.4576215233568175,rainy,450
40,rfcn_resnet101_coco,0.442633629511578,rainy,450
41,ssd_inception_v2_coco,0.381688104574276,rainy,450
42,faster_rcnn_inception_v2_coco_custom,0.4877703676777081,rainy,600
43,faster_rcnn_inception_v2_coco,0.3793464113350286,rainy,600
44,faster_rcnn_resnet50_coco,0.4323563838839717,rainy,600
45,mask_rcnn_inception_v2_coco,0.4239002839061941,rainy,600
46,rfcn_resnet101_coco,0.4251132773546508,rainy,600
47,ssd_inception_v2_coco,0.3619856299676423,rainy,600
48,faster_rcnn_inception_v2_coco_custom,0.4140750854003952,night,150
49,faster_rcnn_inception_v2_coco,0.13418218007259103,night,150
50,faster_rcnn_resnet50_coco,0.1817351598173516,night,150
51,mask_rcnn_inception_v2_coco,0.05036242296516268,night,150
52,rfcn_resnet101_coco,0.11410577208533015,night,150
53,ssd_inception_v2_coco,0.0958904109589041,night,150
54,faster_rcnn_inception_v2_coco_custom,0.5257954046987168,night,300
55,faster_rcnn_inception_v2_coco,0.324174767016546,night,300
56,faster_rcnn_resnet50_coco,0.4491422964818288,night,300
57,mask_rcnn_inception_v2_coco,0.30329146526434764,night,300
58,rfcn_resnet101_coco,0.30109578234995854,night,300
59,ssd_inception_v2_coco,0.3326243396902139,night,300
60,faster_rcnn_inception_v2_coco_custom,0.7091804072078891,night,450
61,faster_rcnn_inception_v2_coco,0.45339092298549094,night,450
62,faster_rcnn_resnet50_coco,0.5028679019819333,night,450
63,mask_rcnn_inception_v2_coco,0.33846226684795716,night,450
64,rfcn_resnet101_coco,0.38406114130763347,night,450
65,ssd_inception_v2_coco,0.39802540220414695,night,450
66,faster_rcnn_inception_v2_coco_custom,0.762109511304008,night,600
67,faster_rcnn_inception_v2_coco,0.49812549216778473,night,600
68,faster_rcnn_resnet50_coco,0.4841432767484394,night,600
69,mask_rcnn_inception_v2_coco,0.4375050933167119,night,600
70,rfcn_resnet101_coco,0.477793334099032,night,600
71,ssd_inception_v2_coco,0.3978900640584626,night,600
72,faster_rcnn_inception_v2_coco_custom,0.2520592301186036,snowy,150
73,faster_rcnn_inception_v2_coco,0.2091218039961654,snowy,150
74,faster_rcnn_resnet50_coco,0.2305819855819856,snowy,150
75,mask_rcnn_inception_v2_coco,0.1445353761143235,snowy,150
76,rfcn_resnet101_coco,0.18346742828638102,snowy,150
77,ssd_inception_v2_coco,0.21438987459712244,snowy,150
78,faster_rcnn_inception_v2_coco_custom,0.24316138301793494,snowy,300
79,faster_rcnn_inception_v2_coco,0.6067990138993553,snowy,300
80,faster_rcnn_resnet50_coco,0.5875874045254978,snowy,300
81,mask_rcnn_inception_v2_coco,0.5559669304691613,snowy,300
82,rfcn_resnet101_coco,0.6819374876720146,snowy,300
83,ssd_inception_v2_coco,0.5409339874730262,snowy,300
84,faster_rcnn_inception_v2_coco_custom,0.4649160235158038,snowy,450
85,faster_rcnn_inception_v2_coco,0.6552119188562779,snowy,450
86,faster_rcnn_resnet50_coco,0.6470536290252102,snowy,450
87,mask_rcnn_inception_v2_coco,0.654754444887891,snowy,450
88,rfcn_resnet101_coco,0.7109215352060833,snowy,450
89,ssd_inception_v2_coco,0.6262219494404886,snowy,450
90,faster_rcnn_inception_v2_coco_custom,0.3015254033787388,snowy,600
91,faster_rcnn_inception_v2_coco,0.7511826997984782,snowy,600
92,faster_rcnn_resnet50_coco,0.7725232344164565,snowy,600
93,mask_rcnn_inception_v2_coco,0.7619373619751727,snowy,600
94,rfcn_resnet101_coco,0.7618154699762745,snowy,600
95,ssd_inception_v2_coco,0.6475457881026707,snowy,600
